,Lawyer Names,experience,field,feedback,gender,charge,avg_days_for_disposal,lang,practices_at,location,cd,isprobo
567,Divit Kulkarni,13,"['Tax ', ' Constitutional ', '  Human Rights ']",3.0,m,306.64062852192677,93.03575055898042,"['Odia', 'Urdu']",Sinha,Chennai, Large Corporations,False
568,Kavya Saran,21,"['Consumer Protection ', ' Criminal ', '  Civil ']",1.0,f,74.10945182333356,66.64573369940283,"['Assamese', 'Telugu']",Kalita PLC,Chennai, Individuals,False
569,Ritvik Chaudhary,1,"['Banking  Finance ', ' Criminal ', '  Constitutional ']",,m,113.2245544079828,,"['Urdu', 'Assamese', 'Telugu']",Hora-Sem,Kolkata, Large Corporations,True
570,Vanya Dass,16,"[' Medical ', 'Labor ', '  Human Rights ']",3.0,m,330.1472282959012,68.65684638282669,"['Odia', 'Gujarati', 'Kannada']",Chaudhry Group,Kolkata, Small Businesses,False
571,Urvi Amble,29,"[' Real Estate ', 'Criminal ', '  Intellectual Property ']",3.0,f,143.5207286564761,96.91908126476747,"['Urdu', 'Gujarati', 'Telugu']",Dixit Ltd,Mumbai, Large Corporations,True
572,Miraan Bajaj,7,"[' Corporate ', 'Immigration ', '  Family ']",5.0,m,276.83153588679096,76.13463999554436,"['Tamil', 'Urdu', 'Gujarati']",Taneja,Kolkata, Small Businesses,False
573,Mamooty Kuruvilla,5,"[' Human Rights ', '  Family ', 'Real Estate ']",5.0,m,295.19675871322704,83.23508974456036,"['Bengali', 'Gujarati']",Gill-Dixit,Kolkata, Small Businesses,True
574,Shanaya Ahluwalia,22,"['  Constitutional ', 'Constitutional ', ' Tax ']",2.0,f,177.57823562192272,94.40924081914743,"['Assamese', 'Punjabi', 'Gujarati']",Lad,Bangalore, Small Businesses,True
575,Ehsaan Saraf,29,"['Environmental ', ' Consumer Protection ', '  Environmental ']",5.0,m,476.7913199936718,78.41186832236646,"['Hindi', 'Kannada']",Hari-Mandal,Kolkata, Large Corporations,True
576,Armaan Bhasin,23,"[' Family ', '  Criminal ', 'has 23 years of experience in Consumer Protection ']",4.0,m,429.1088480760088,89.13054000497546,"['Hindi', 'Malayalam', 'Telugu']",Badami,Delhi, Large Corporations,False
577,Priyansh Kapoor,3,"[' Consumer Protection ', 'Criminal ', '  Intellectual Property ']",5.0,m,375.06807843475934,67.29254248132719,"['Punjabi', 'Odia', 'Marathi']",Banik Ltd,Delhi, Small Businesses,True
578,Trisha Raval,12,"[' Corporate ', 'Labor ', '  Human Rights ']",4.0,f,85.09723988423409,99.46313405394233,"['Hindi', 'Urdu', 'Marathi']",Dash-Babu,Delhi, Large Corporations,False
579,Parinaaz Yogi,26,"['Media  Entertainment ', ' Environmental ', '  Media  Entertainment ']",,m,97.75850868905874,,"['Tamil', 'Urdu', 'Kannada']",Dada-Gera,Mumbai, Individuals,True
580,Anahi Zacharia,16,"[' Medical ', 'Intellectual Property ', '  Intellectual Property ']",2.0,m,271.7516056392301,131.8831330186494,"['Punjabi', 'Tamil', 'Telugu']",Chadha PLC,Chennai, Individuals,True
581,Purab Samra,19,"[' Medical ', '  Media  Entertainment ', 'Real Estate ']",4.0,m,122.32100713594356,91.36752219999659,"['Assamese', 'Hindi', 'Gujarati']",Bassi PLC,Bangalore, Individuals,True
582,Aaina Kaul,5,"['Consumer Protection ', ' Environmental ', '  Environmental ']",1.0,m,490.2194585882633,101.8230621119578,"['Punjabi', 'Bengali', 'Assamese']",Amble Ltd,Mumbai, Individuals,False
583,Ayesha Rao,22,"[' Banking  Finance ', '  Real Estate ', 'Labor ']",4.0,f,121.33410531233424,63.29061490638766,"['Hindi', 'Gujarati', 'Punjabi']",Sant-Lall,Chennai, Large Corporations,True
584,Mannat Rout,25,"['Environmental ', ' Environmental ', '  Consumer Protection ']",2.0,f,269.3605259587883,112.54101489458382,"['Bengali', 'Malayalam', 'Tamil']",Kar-Sarin,Bangalore, Small Businesses,True
585,Oorja Kale,29,"['Immigration ', ' Criminal ', '  Environmental ']",4.0,m,213.85447557867744,101.64342757086159,"['Hindi', 'Malayalam', 'Gujarati']",Chada-Das,Bangalore, Large Corporations,False
586,Suhana Chada,14,"['Medical ', ' Criminal ', '  Human Rights ']",5.0,f,337.7238896543441,82.74099832573151,"['Punjabi', 'Marathi', 'Telugu']",Banik LLC,Bangalore, Individuals,True
587,Azad Shah,28,"['  Medical ', 'Immigration ', ' Intellectual Property ']",5.0,m,108.06638400024121,108.55771200433514,"['Urdu', 'Assamese', 'Kannada']",Bains PLC,Delhi, Large Corporations,True
588,Vanya Maharaj,5,"['Consumer Protection ', '  Environmental ', ' Media  Entertainment ']",2.0,m,243.6423926190759,86.18285885031987,"['Bengali', 'Odia', 'Hindi']",Ghosh,Delhi, Large Corporations,False
589,Jivika Sangha,15,"['Immigration ', ' Immigration ', '  Media  Entertainment ']",,f,173.61726476321462,,"['Punjabi', 'Urdu', 'Kannada']",Handa,Delhi, Individuals,False
590,Prerak Sami,17,"['Criminal ', ' Constitutional ', '  Human Rights ']",5.0,m,449.48818610225965,97.13002388141237,"['Punjabi', 'Bengali', 'Gujarati']",Gola Group,Bangalore, Small Businesses,False
591,Romil Banik,14,"[' Family ', 'Criminal ', '  Tax ']",1.0,m,68.26357046061278,74.04968250254522,"['Bengali', 'Marathi', 'Gujarati']",Kade-Choudhry,Hyderabad, Large Corporations,True
592,Badal Ravel,20,"['Constitutional ', ' Media  Entertainment ', '  Corporate ']",2.0,m,461.1773723029067,105.32437146599922,"['Urdu', 'Kannada']",Kari-Deshpande,Bangalore, Large Corporations,False
593,Ishaan Ratta,5,"['Consumer Protection ', ' Real Estate ', '  Human Rights ']",4.0,m,424.8473623488502,74.16015282109734,"['Malayalam', 'Odia']",Ganesh,Delhi, Individuals,True
594,Kiaan Bansal,12,"['Constitutional ', ' Constitutional ', '  Environmental ']",4.0,m,183.90682239836696,74.2491781526522,"['Tamil', 'Urdu', 'Kannada']",Jani,Bangalore, Small Businesses,True
595,Tanya Jayaraman,16,"['Consumer Protection ', ' Consumer Protection ', '  Corporate ']",1.0,f,405.1807946046971,76.35465317387498,"['Hindi', 'Urdu', 'Kannada']",Sawhney-Shanker,Delhi, Individuals,False
596,Prerak Kakar,26,"['Medical ', ' Intellectual Property ', '  Medical ']",5.0,m,64.0461021524364,101.39250056274183,"['Tamil', 'Assamese', 'Punjabi']",Sule,Delhi, Individuals,False
597,Manjari Zacharia,26,"['  Medical ', 'Medical ', ' Criminal ']",2.0,f,485.08949763202713,80.74836957720439,"['Bengali', 'Odia', 'Gujarati']",Brahmbhatt-Raval,Delhi, Large Corporations,True
598,Eshani Rege,16,"[' Medical ', 'Intellectual Property ', '  Media  Entertainment ']",1.0,f,286.96772416540523,69.78006323449247,"['Hindi', 'Urdu', 'Marathi']",Saha,Hyderabad, Small Businesses,False
599,Neelofar Din,21,"[' Real Estate ', '  Human Rights ', 'has 21 years of experience in Consumer Protection ']",,f,186.47646172945036,,"['Bengali', 'Assamese']",Virk-Bala,Chennai, Individuals,True
600,Heer Dube,7,"['Environmental ', ' Criminal ', '  Human Rights ']",2.0,m,213.1624456676047,89.5193644397927,"['Punjabi', 'Odia', 'Gujarati']",Shere,Bangalore, Large Corporations,True
601,Anya Divan,4,"[' Human Rights ', 'Human Rights ', '  Criminal ']",4.0,f,79.88240905722381,72.28541274503422,"['Hindi', 'Tamil', 'Gujarati']",Chhabra and Sons,Mumbai, Individuals,False
602,Ahana  Deshmukh,1,"[' Family ', '  Corporate ', 'Real Estate ']",2.0,f,495.20728131891764,72.72478336448485,"['Hindi', 'Odia', 'Telugu']",Dalal-Rao,Delhi, Large Corporations,False
603,Baiju Upadhyay,5,"['  Real Estate ', 'Family ', ' Immigration ']",3.0,m,67.6813753178116,121.66944501149376,"['Bengali', 'Gujarati', 'Kannada']",Sheth Ltd,Hyderabad, Small Businesses,False
604,Yuvaan Gade,23,"['Banking  Finance ', ' Banking  Finance ', '  Environmental ']",2.0,m,344.70820541653654,77.0915189427917,"['Hindi', 'Urdu', 'Kannada']",Savant,Mumbai, Individuals,True
605,Bhavin Dora,26,"['  Environmental ', ' Constitutional ', 'Dora has 26 years of experience in Family ']",3.0,m,249.23116746790623,85.15436446840489,"['Hindi', 'Gujarati', 'Kannada']",Iyengar,Chennai, Small Businesses,False
606,Chirag Hayer,10,"['  Immigration ', ' Constitutional ', 'Labor ']",2.0,m,477.0122981849218,84.49144498801071,"['Malayalam', 'Odia', 'Kannada']",Hayre Group,Bangalore, Small Businesses,False
607,Divij Thakur,22,"['Medical ', ' Environmental ', '  Corporate ']",3.0,m,160.69988313805783,83.67964788344337,"['Malayalam', 'Urdu', 'Marathi']",Kothari-Chahal,Hyderabad, Large Corporations,True
608,Lakshay Sekhon,5,"[' Corporate ', 'Immigration ', '  Intellectual Property ']",4.0,m,289.4390707721051,99.32020109953653,"['Assamese', 'Kannada', 'Telugu']",Sibal and Sons,Delhi, Individuals,True
609,Advika Wable,4,"[' Environmental ', '  Environmental ', 'Real Estate ']",,f,267.06029386223884,,"['Punjabi', 'Tamil', 'Marathi']",Sharaf-Sura,Delhi, Individuals,True
610,Farhan Sarna,2,"['  Banking  Finance ', ' Human Rights ', 'Tax ']",3.0,m,366.2898998225456,85.41068352702612,"['Marathi', 'Urdu', 'Gujarati']",Gaba-Tank,Delhi, Large Corporations,True
611,Hazel Chana,20,"[' Real Estate ', 'Human Rights ', '  Medical ']",3.0,f,80.60460437858923,71.45282570111476,"['Punjabi', 'Urdu', 'Gujarati']",Dutt,Hyderabad, Large Corporations,False
612,Riya Sarin,10,"['  Consumer Protection ', 'has 10 years of experience in Criminal ', ' Tax ']",4.0,f,137.2051085105097,109.11660341773356,"['Punjabi', 'Hindi']",Sagar-Desai,Mumbai, Small Businesses,True
613,Vaibhav Andra,26,"['Civil ', ' Environmental ', '  Media  Entertainment ']",3.0,m,146.55416904178242,88.56988363204977,"['Tamil', 'Marathi', 'Kannada']",Kashyap LLC,Chennai, Individuals,True
614,Suhana Chaudhuri,19,"['Corporate ', ' Banking  Finance ', '  Immigration ']",1.0,f,382.16783967876034,115.95482722285753,"['Odia', 'Marathi']",Subramaniam LLC,Bangalore, Individuals,False
615,Jhanvi Wason,26,"['Intellectual Property ', ' Intellectual Property ', '  Corporate ']",4.0,m,135.11241334703303,56.31621153652256,"['Tamil', 'Marathi', 'Assamese']",Raju,Chennai, Large Corporations,True
616,Dharmajan Apte,1,"[' Environmental ', 'Immigration ', '  Intellectual Property ']",1.0,m,308.0712937509395,92.93104831924981,"['Bengali', 'Telugu']",Banerjee,Delhi, Large Corporations,True
617,Khushi Thakkar,24,"['Immigration ', '  Intellectual Property ', ' Media  Entertainment ']",4.0,f,146.85971922542916,118.77909500814312,"['Hindi', 'Malayalam', 'Marathi']",Wali and Sons,Chennai, Large Corporations,False
618,Mannat Loyal,5,"['Environmental ', ' Environmental ', '  Medical ']",3.0,f,437.7312275377903,84.70103796842763,"['Bengali', 'Odia', 'Gujarati']",Majumdar,Mumbai, Individuals,True
619,Vritika Gill,13,"['  Banking  Finance ', 'Immigration ', ' Tax ']",,f,473.9834545203373,,"['Punjabi', 'Telugu']",Sachdev-Dutt,Kolkata, Individuals,True
620,Farhan Bajaj,4,"[' Corporate ', 'Criminal ', '  Constitutional ']",3.0,m,283.3218387240082,94.43267537385508,"['Hindi', 'Marathi', 'Telugu']",Goswami-Kurian,Kolkata, Small Businesses,False
621,Amani Yohannan,16,"[' Family ', 'Criminal ', '  Family ']",4.0,f,208.53899789413023,81.61806271672565,"['Bengali', 'Gujarati', 'Kannada']",Kalla,Bangalore, Large Corporations,False
622,Saanvi Garg,24,"['Corporate ', ' Intellectual Property ', '  Criminal ']",3.0,f,155.32599875787463,85.318921019209,"['Urdu', 'Marathi', 'Kannada']",Gaba,Bangalore, Small Businesses,False
623,Raghav Shanker,16,"['Banking  Finance ', ' Environmental ', '  Media  Entertainment ']",1.0,m,72.4014506853697,84.93277358712895,"['Tamil', 'Malayalam', 'Urdu']",Ratta-Chaudhari,Chennai, Individuals,False
624,Abram Thaker,23,"['Consumer Protection ', ' Human Rights ', '  Real Estate ']",1.0,m,170.82503428887293,80.5886889836044,"['Bengali', 'Gujarati', 'Kannada']",Issac,Bangalore, Small Businesses,False
625,Sumer Viswanathan,2,"[' Medical ', '  Media  Entertainment ', 'Tax ']",3.0,m,344.40610097539303,108.43284825300839,"['Hindi', 'Odia', 'Punjabi']",Grover-Chadha,Hyderabad, Small Businesses,False
626,Vivaan Dara,17,"['  Civil ', ' Immigration ', 'Real Estate ']",2.0,m,290.1276190891449,96.91617048444652,"['Punjabi', 'Malayalam', 'Urdu']",Zachariah-Grewal,Mumbai, Small Businesses,False
627,Inaaya  Bora,28,"[' Banking  Finance ', 'Immigration ', '  Medical ']",4.0,f,474.81857522641735,93.75942348154953,"['Bengali', 'Malayalam', 'Gujarati']",Basu,Delhi, Large Corporations,False
628,Charvi Sehgal,27,"['Family ', '  Media  Entertainment ', ' Tax ']",4.0,f,228.32476812126527,102.12856510335175,"['Tamil', 'Marathi']",Bobal-Raman,Delhi, Individuals,False
629,Arhaan Kohli,20,"['Constitutional ', ' Immigration ', '  Environmental ']",,m,362.23850404777755,,"['Bengali', 'Odia', 'Assamese']",Behl and Sons,Chennai, Large Corporations,False
630,Shalv Gade,24,"['Environmental ', '  Tax ', ' Tax ']",2.0,m,270.1952363638046,78.38694272470649,"['Gujarati', 'Odia', 'Assamese']",Virk-Chandran,Delhi, Small Businesses,False
631,Anahita Sahota,12,"['Environmental ', ' Human Rights ', '  Corporate ']",1.0,f,280.6592971658953,80.96063543078164,"['Odia', 'Assamese']",Gole,Chennai, Large Corporations,False
632,Kanav Bhasin,18,"[' Immigration ', 'has 18 years of experience in Banking  Finance ', '  Corporate ']",5.0,m,170.49844157185288,90.02674561656913,"['Tamil', 'Hindi', 'Marathi']",Dar,Bangalore, Individuals,True
633,Kabir Bhardwaj,3,"['Family ', '  Media  Entertainment ', ' Tax ']",5.0,m,254.72784957889985,74.11182437440647,"['Assamese', 'Telugu']",Deep-Bath,Bangalore, Individuals,False
634,Jiya Issac,28,"[' Consumer Protection ', '  Immigration ', 'Labor ']",3.0,f,261.8532486557183,82.49608475119987,"['Malayalam', 'Urdu', 'Telugu']",Venkataraman-Dhillon,Hyderabad, Small Businesses,False
635,Mohanlal Rastogi,1,"['Family ', '  Immigration ', ' Immigration ']",2.0,m,367.98913478702025,82.25825037192848,"['Punjabi', 'Gujarati']",Bhatia,Hyderabad, Small Businesses,False
636,Nirvi Ray,1,"[' Corporate ', 'Human Rights ', '  Human Rights ']",2.0,f,473.2879996337512,121.86834344743521,"['Malayalam', 'Odia', 'Urdu']",Deep,Mumbai, Large Corporations,False
637,Samaira Chawla,29,"['  Tax ', 'Labor ', ' Civil ']",4.0,f,198.19457486712693,48.392775900991246,"['Hindi', 'Urdu', 'Assamese']",Randhawa Inc,Delhi, Individuals,False
638,Mahika Sankaran,19,"['Civil ', ' Intellectual Property ', '  Corporate ']",1.0,f,68.9902108615843,87.3057041789155,"['Punjabi', 'Marathi', 'Telugu']",Ben-Batra,Hyderabad, Individuals,True
639,Tejas Dhar,11,"['Medical ', ' Real Estate ', '  Labor ']",,m,273.33280647528784,,"['Hindi', 'Urdu']",Buch LLC,Mumbai, Large Corporations,True
640,Indrans Das,5,"['  Real Estate ', ' Family ', 'Constitutional ']",5.0,m,295.00759946712583,91.82766696198681,"['Marathi', 'Kannada', 'Telugu']",Iyer-D’Alia,Kolkata, Individuals,True
641,Purab Hayer,12,"['Medical ', ' Consumer Protection ', '  Human Rights ']",1.0,m,125.79824800936186,101.3012621013164,"['Hindi', 'Marathi', 'Punjabi']",Lal-Chadha,Hyderabad, Small Businesses,True
642,Arnav Bora,3,"['Environmental ', ' Labor ', '  Human Rights ']",1.0,m,392.20907282423,91.49739472649652,"['Bengali', 'Marathi']",Mahajan-Basak,Mumbai, Small Businesses,False
643,Elakshi Contractor,1,"['  Medical ', 'Family ', ' Criminal ']",3.0,f,493.21809879867124,79.9899992817528,"['Hindi', 'Gujarati', 'Telugu']",Varty-Shanker,Chennai, Large Corporations,True
644,Ranbir Samra,1,"['Civil ', ' Human Rights ', '  Corporate ']",2.0,m,475.5986226538074,56.3712609823663,"['Malayalam', 'Kannada', 'Telugu']",Sane,Chennai, Large Corporations,True
645,Khushi Kohli,8,"['Consumer Protection ', ' Human Rights ', '  Environmental ']",3.0,f,138.69771747064348,93.08183530554454,"['Punjabi', 'Telugu']",Gera-Sachar,Mumbai, Large Corporations,False
646,Anaya Sama,10,"[' Environmental ', 'Intellectual Property ', '  Family ']",2.0,f,443.9134579553423,78.36590093096413,"['Hindi', 'Marathi', 'Kannada']",Loke,Bangalore, Small Businesses,True
647,Jivin Behl,11,"[' Medical ', 'Behl has 11 years of experience in Real Estate ', '  Tax ']",4.0,m,367.02213638525814,77.99496890752044,"['Hindi', 'Odia', 'Marathi']",Saxena-Srinivasan,Kolkata, Large Corporations,True
648,Aniruddh Kala,12,"[' Banking  Finance ', 'Civil ', '  Human Rights ']",3.0,m,254.2309537131102,82.51519116031332,"['Punjabi', 'Malayalam', 'Marathi']",Kadakia,Mumbai, Individuals,False
649,Adah Gera,29,"['Media  Entertainment ', ' Real Estate ', '  Environmental ']",,m,293.27494744612807,,"['Hindi', 'Odia', 'Kannada']",Sathe,Hyderabad, Large Corporations,False
650,Devansh Bal,13,"['Banking  Finance ', '  Labor ', ' Criminal ']",5.0,m,432.32007874210615,126.0725631338096,"['Punjabi', 'Odia', 'Gujarati']",Savant-Halder,Bangalore, Individuals,True
651,Tushar Setty,12,"['  Real Estate ', ' Human Rights ', 'Human Rights ']",3.0,m,266.0607228372679,93.25811906292601,"['Hindi', 'Bengali', 'Marathi']",Kibe-Karnik,Mumbai, Small Businesses,False
652,Kimaya Shere,14,"['  Media  Entertainment ', ' Media  Entertainment ', 'Real Estate ']",2.0,f,217.94331609730708,83.02849164132408,"['Bengali', 'Telugu']",Agarwal,Delhi, Individuals,True
653,Saanvi Bhatnagar,2,"['Media  Entertainment ', ' Media  Entertainment ', '  Corporate ']",5.0,f,271.9613718616936,72.34160373823184,"['Bengali', 'Marathi']",Bajwa Ltd,Hyderabad, Individuals,False
654,Faiyaz Barad,29,"['Family ', ' Intellectual Property ', '  Civil ']",3.0,m,310.6084118157721,97.02810242319103,"['Urdu', 'Marathi']",Dugar PLC,Hyderabad, Individuals,True
655,Anahita Ganesh,19,"[' Real Estate ', 'Tax ', '  Constitutional ']",3.0,f,135.08494420025698,116.74358400097717,"['Punjabi', 'Marathi', 'Gujarati']",Jha,Chennai, Small Businesses,True
656,Parinaaz Singh,18,"['Consumer Protection ', ' Immigration ', '  Environmental ']",4.0,m,455.4084786201458,86.28989419462265,"['Bengali', 'Malayalam', 'Kannada']",Johal-Magar,Delhi, Individuals,True
657,Neelofar Jain,3,"['has 3 years of experience in Civil ', '  Banking  Finance ', ' Immigration ']",3.0,f,353.3841269733262,54.315059388701634,"['Hindi', 'Gujarati', 'Punjabi']",Lalla-Thaker,Delhi, Individuals,False
658,Vivaan Mallick,23,"['  Family ', 'Constitutional ', ' Labor ']",1.0,m,334.97101280187,100.05074507723286,"['Punjabi', 'Urdu', 'Telugu']",Mangat PLC,Hyderabad, Large Corporations,False
659,Hridaan Shetty,17,"['Family ', ' Criminal ', '  Civil ']",,m,94.77330178128716,,"['Bengali', 'Malayalam', 'Urdu']",Chad Group,Kolkata, Large Corporations,True
660,Nitya Dara,26,"['  Consumer Protection ', ' Human Rights ', 'Immigration ']",1.0,f,321.8782721776663,66.21231539421228,"['Kannada', 'Telugu']",Shan,Bangalore, Large Corporations,False
661,Yasmin Shukla,8,"[' Family ', '  Immigration ', 'Shukla has 8 years of experience in Criminal ']",5.0,f,104.43229800732155,92.6472627549443,"['Malayalam', 'Odia', 'Kannada']",Raman-Lala,Chennai, Individuals,False
662,Uthkarsh Raman,29,"['Civil ', ' Human Rights ', '  Medical ']",4.0,m,85.41395383792957,96.76839024204148,"['Bengali', 'Odia', 'Kannada']",Ratta Group,Delhi, Individuals,True
663,Anahi Shah,26,"['Constitutional ', ' Intellectual Property ', '  Environmental ']",3.0,m,287.289903039077,88.90339046986593,"['Bengali', 'Hindi', 'Punjabi']",Tak-Gopal,Chennai, Small Businesses,False
664,Arhaan Basak,10,"['  Immigration ', 'Human Rights ', ' Immigration ']",3.0,m,231.25349032092274,78.1384362137197,"['Punjabi', 'Kannada', 'Telugu']",Arya Group,Hyderabad, Individuals,False
665,Jayesh Bhat,26,"['Media  Entertainment ', ' Environmental ', '  Corporate ']",3.0,m,314.96462157030044,105.23905835345334,"['Tamil', 'Odia']",Ganesan-Kalla,Bangalore, Individuals,True
666,Shanaya Chada,2,"['  Immigration ', 'Intellectual Property ', ' Civil ']",5.0,f,90.14997562575736,83.94930381046976,"['Tamil', 'Bengali', 'Marathi']",Dewan and Sons,Mumbai, Small Businesses,True
667,Advik Loke,19,"[' Corporate ', 'Immigration ', '  Consumer Protection ']",3.0,m,243.9423782812663,67.72220755950102,"['Tamil', 'Assamese', 'Telugu']",Hari Group,Delhi, Individuals,False
668,Vidur Master,9,"[' Corporate ', 'Medical ', '  Family ']",1.0,m,128.6540217703211,59.25788271495479,"['Assamese', 'Malayalam', 'Marathi']",Dhillon Ltd,Bangalore, Small Businesses,False
669,Samar Chaudhari,7,"['  Real Estate ', 'Intellectual Property ', ' Tax ']",,f,494.19503866585245,,"['Tamil', 'Odia', 'Assamese']",Cheema Group,Chennai, Small Businesses,False
670,Baiju Ramakrishnan,4,"['Medical ', ' Family ', '  Intellectual Property ']",4.0,m,302.5175955958285,99.24995964706677,"['Tamil', 'Malayalam', 'Urdu']",Bali-Kadakia,Hyderabad, Large Corporations,True
671,Jayan Bahl,26,"['Family ', ' Media  Entertainment ', '  Criminal ']",1.0,f,359.3465874233903,91.31960320693753,"['Punjabi', 'Odia']",Malhotra-Buch,Bangalore, Individuals,False
672,Suhana Saini,21,"[' Human Rights ', 'Criminal ', '  Tax ']",3.0,f,196.43822630717352,83.39588044723794,"['Odia', 'Assamese', 'Telugu']",Sathe-Krishnamurthy,Mumbai, Large Corporations,False
673,Farhan Rattan,18,"[' Corporate ', 'Civil ', '  Real Estate ']",3.0,m,92.63251165070487,82.06502378695309,"['Odia', 'Telugu']",Doshi-Dua,Bangalore, Individuals,False
674,Urvi Gupta,13,"['Civil ', '  Intellectual Property ', ' Tax ']",2.0,f,489.14188825259146,73.86395027337583,"['Malayalam', 'Odia', 'Gujarati']",Varkey-Bhatti,Hyderabad, Large Corporations,False
675,Kiaan Ravel,11,"['  Labor ', 'Tax ', ' Criminal ']",5.0,m,178.81656592243243,83.52816533160173,"['Hindi', 'Urdu', 'Gujarati']",Gole-Mammen,Chennai, Small Businesses,False
676,Ryan Hegde,29,"['Environmental ', '  Banking  Finance ', ' Immigration ']",1.0,m,240.7136833281084,58.19869177319738,"['Marathi', 'Assamese']",Ramanathan-Bawa,Delhi, Small Businesses,False
677,Ranbir Manne,24,"[' Banking  Finance ', 'Tax ', '  Environmental ']",2.0,m,342.4387647661587,78.95904519797229,"['Punjabi', 'Tamil']",Chaudhari,Delhi, Small Businesses,True
678,Anika Sen,4,"['Banking  Finance ', '  Media  Entertainment ', ' Medical ']",4.0,f,61.113783958750076,85.3359372547336,"['Punjabi', 'Odia', 'Urdu']",Chand-Chakrabarti,Kolkata, Small Businesses,True
679,Rohan Banik,25,"['Family ', ' Consumer Protection ', '  Environmental ']",,m,414.6166087327791,,"['Tamil', 'Bengali', 'Odia']",Kaur Inc,Chennai, Individuals,True
680,Drishya Sandal,21,"['Family ', ' Immigration ', '  Human Rights ']",1.0,f,291.4601855128791,89.40110304939954,"['Tamil', 'Malayalam', 'Telugu']",Karnik Group,Kolkata, Individuals,False
681,Kanav Walla,29,"[' Consumer Protection ', 'Criminal ', '  Family ']",3.0,m,175.19773418096997,101.92384670813338,"['Gujarati', 'Assamese', 'Telugu']",Venkataraman-Zachariah,Kolkata, Large Corporations,False
682,Zain Chakraborty,25,"['Chakraborty has 25 years of experience in Tax ', ' Environmental ', '  Environmental ']",1.0,m,77.72359338161115,110.23702657670144,"['Assamese', 'Marathi', 'Kannada']",Johal LLC,Hyderabad, Individuals,True
683,Urvi Kothari,4,"['  Civil ', 'Constitutional ', ' Civil ']",3.0,f,123.12428696349865,105.87255140736153,"['Punjabi', 'Tamil', 'Bengali']",Reddy Group,Hyderabad, Individuals,True
684,Tejas Krishnan,10,"['Medical ', ' Real Estate ', '  Intellectual Property ']",5.0,m,452.7652364840466,97.05764771067835,"['Gujarati', 'Malayalam', 'Marathi']",Dey-Bora,Hyderabad, Large Corporations,True
685,Vidur Bains,5,"[' Corporate ', 'Constitutional ', '  Family ']",3.0,m,358.71090077115093,90.17794018771177,"['Tamil', 'Odia', 'Urdu']",Sen LLC,Mumbai, Small Businesses,True
686,Anaya Rastogi,9,"['Criminal ', ' Criminal ', '  Constitutional ']",4.0,f,162.45577473660043,75.28817987379661,"['Malayalam', 'Gujarati']",Dhawan,Chennai, Large Corporations,True
687,Nehmat Savant,24,"['Consumer Protection ', ' Consumer Protection ', '  Civil ']",3.0,m,79.52034422526329,101.09916077068975,"['Assamese', 'Gujarati', 'Kannada']",Ramachandran and Sons,Delhi, Large Corporations,False
688,Yuvraj  Kumar,3,"['Environmental ', ' Medical ', '  Environmental ']",4.0,m,360.77689057398635,115.19621073332294,"['Bengali', 'Tamil', 'Telugu']",Viswanathan PLC,Chennai, Small Businesses,False
689,Badal Krishnamurthy,17,"['  Immigration ', 'Constitutional ', ' Constitutional ']",,m,307.5834766854943,,"['Punjabi', 'Gujarati', 'Marathi']",Tailor-Dhillon,Hyderabad, Large Corporations,False
690,Nakul Goda,3,"['  Consumer Protection ', ' Human Rights ', 'Labor ']",5.0,m,232.03378600620576,118.75888722639185,"['Bengali', 'Urdu', 'Gujarati']",Sen,Mumbai, Large Corporations,False
691,Shlok Ratti,16,"['Banking  Finance ', ' Corporate ', '  Immigration ']",1.0,f,213.62515213552874,67.11642437908374,"['Punjabi', 'Malayalam', 'Gujarati']",Jani-Wadhwa,Chennai, Large Corporations,False
692,Vedika Varty,4,"['  Civil ', ' Human Rights ', 'Real Estate ']",4.0,f,147.56642416809873,72.68754922830688,"['Hindi', 'Malayalam', 'Bengali']",Ghosh PLC,Chennai, Individuals,True
693,Bhamini Kale,18,"[' Medical ', '  Labor ', 'Criminal ']",4.0,f,351.32506544188294,102.82802261622393,"['Tamil', 'Gujarati', 'Telugu']",Devi-Kashyap,Kolkata, Small Businesses,True
694,Zeeshan Sharma,17,"[' Family ', 'Criminal ', '  Environmental ']",2.0,m,486.80061250724174,93.96435315229877,"['Punjabi', 'Malayalam', 'Assamese']",Dugar,Chennai, Small Businesses,False
695,Mohanlal Lal,7,"['Corporate ', ' Environmental ', '  Medical ']",2.0,m,129.07186062657163,109.70673264857712,"['Tamil', 'Malayalam', 'Telugu']",Ahuja-Dutta,Kolkata, Large Corporations,True
696,Bhavin Keer,24,"[' Real Estate ', '  Labor ', 'Keer has 24 years of experience in Medical ']",2.0,m,318.7024790069765,89.7679253890989,"['Hindi', 'Marathi']",Dhar-Khare,Kolkata, Individuals,False
697,Anahi Grover,23,"[' Corporate ', 'Media  Entertainment ', '  Labor ']",3.0,m,240.8832750856893,76.98036866207502,"['Tamil', 'Urdu', 'Gujarati']",Uppal,Bangalore, Small Businesses,False
698,Zeeshan Kara,5,"['Banking  Finance ', ' Human Rights ', '  Intellectual Property ']",2.0,m,251.0099247850992,86.79610136692436,"['Odia', 'Urdu', 'Gujarati']",Khurana-Chandra,Hyderabad, Small Businesses,True
